城市,2010得分,2011得分,2012得分,2013得分,2014得分,2015得分,2016得分,2017得分,2018得分,2019得分
天水市,65.941,70.279,71.253,70.872,70.492,70.111,67.028,63.944,65.439,66.933
运城市,67.867,74.062,73.08,70.66,68.24,65.82,65.796,65.772,65.436,65.1
鹤岗市,,72.432,71.767,70.983,70.198,69.414,68.043,66.672,65.412,64.153
阳江市,62.833,69.261,66.938,66.53,66.121,65.713,65.058,64.402,65.374,66.345
保山市,64.528,71.716,70.396,69.927,69.459,68.99,66.792,64.594,65.167,65.741
庆阳市,73.543,70.928,68.817,68.006,67.194,66.383,65.419,64.455,65.16,65.866
临沧市,67.625,71.969,70.802,70.44,70.079,69.717,67.459,65.201,65.137,65.074
松原市,64.815,69.325,68.285,67.87,67.455,67.04,66.344,65.648,65.107,64.566
阜新市,67.56,72.606,72.975,71.404,69.834,68.263,66.761,65.258,65.099,64.94
信阳市,65.111,72.029,70.844,69.933,69.021,68.11,65.88,63.649,65.096,66.543
株洲市,64.433,71.091,72.038,70.884,69.731,68.577,65.689,62.801,65.071,67.34
钦州市,64.124,68.488,69.841,68.798,67.755,66.712,64.922,63.132,65.056,66.98
安康市,65.016,68.281,68.554,68.605,68.657,68.708,67.242,65.776,65.052,64.329
南充市,64.66,71.796,70.692,69.421,68.151,66.88,66.063,65.246,65.002,64.758
商洛市,67.49,69.289,66.443,66.437,66.432,66.426,65.483,64.539,64.984,65.429
海东市,,,,,,,,63.051,64.942,66.834
遂宁市,65.611,72.731,73.306,71.864,70.423,68.981,66.284,63.587,64.93,66.272
黑河市,69.99,74.108,72.04,71.161,70.283,69.404,67.115,64.827,64.897,64.966
伊春市,63.321,71,68.444,68.714,68.984,69.254,67.313,65.372,64.869,64.366
内江市,63.822,69.467,68.063,67.969,67.875,67.781,65.894,64.008,64.715,65.422
定西市,69.621,72.758,73.863,72.801,71.739,70.677,67.852,65.026,64.468,63.909
白山市,,74.527,73.034,71.311,69.589,67.866,65.474,63.081,64.424,65.767
崇左市,63.775,67.866,65.525,65.92,66.314,66.709,64.882,63.054,64.376,65.699
张掖市,67.309,71.716,69.286,69.016,68.745,68.475,66.35,64.225,64.234,64.243
百色市,65.86,69.981,69.83,69.247,68.664,68.081,65.619,63.157,64.141,65.124
武威市,66.087,71.38,71.776,70.728,69.681,68.633,66.511,64.39,63.975,63.56
来宾市,67.899,70.964,69.341,68.498,67.655,66.812,64.775,62.739,63.304,63.87
绥化市,66.567,71.223,69.146,68.615,68.083,67.552,65.641,63.729,63.288,62.848
河池市,65.448,71.286,70.793,69.609,68.426,67.242,64.566,61.89,63.045,64.201
莱芜市,65.95,70.682,69.013,69.15,69.286,69.423,69.822,70.22,,
